ROTA;FILIAL_ORIGEM;FILIAL_DESTINO; R$_CAPITAL ; R$_INTERIOR ; %_CAPITAL ; %_INTERIOR ;PM
JDFAJU;JDF;AJU;R$ 1,84;R$ 1,51;0,37%;0,37%;50
JDFPNZ;JDF;PNZ;R$ 2,92;R$ 2,56;0,37%;0,37%;50
JDFCGR;JDF;CGR;R$ 3,56;R$ 3,16;0,37%;0,37%;50
JDFPMW;JDF;PMW;R$ 3,12;R$ 2,74;0,37%;0,37%;50
JDFCGB;JDF;CGB;R$ 3,77;R$ 3,37;0,37%;0,37%;50
JDFMCZ;JDF;MCZ;R$ 2,13;R$ 1,66;0,37%;0,37%;50
JDFCAU;JDF;CAU;R$ 2,78;R$ 2,42;0,37%;0,37%;50
JDFREC;JDF;REC;R$ 2,06;R$ 1,69;0,45%;0,45%;50
JDFJPA;JDF;JPA;R$ 2,17;R$ 1,67;0,45%;0,45%;50
JDFNAT;JDF;NAT;R$ 1,92;R$ 1,59;0,45%;0,45%;50
JDFTHE;JDF;THE;R$ 3,02;R$ 2,65;0,45%;0,45%;50
JDFFOR;JDF;FOR;R$ 2,17;R$ 1,76;0,45%;0,45%;50
JDFIMP;JDF;IMP;R$ 3,34;R$ 2,89;0,66%;0,66%;50
JDFSLZ;JDF;SLZ;R$ 2,96;R$ 2,59;0,66%;0,66%;50
JDFBEL;JDF;BEL;R$ 1,84;R$ 1,51;0,94%;0,94%;50
JOIJOI;JOI;JOI;R$ 0,47;R$ 0,82;0,14%;0,14%;50
JOIBNU;JOI;BNU;R$ 0,97;R$ 1,20;0,14%;0,14%;50
JOIITJ;JOI;ITJ;R$ 0,51;R$ 0,76;0,18%;0,18%;50
JOICWB;JOI;CWB;R$ 1,29;R$ 1,51;0,18%;0,18%;50
JOICCM;JOI;CCM;R$ 2,08;R$ 2,27;0,18%;0,18%;50
JOIFLN;JOI;FLN;R$ 1,21;R$ 1,43;0,18%;0,18%;50
JOILAJ;JOI;LAJ;R$ 1,80;R$ 1,99;0,18%;0,18%;50
JOIXAP;JOI;XAP;R$ 1,80;R$ 1,99;0,18%;0,18%;50
JOISAO;JOI;SAO;R$ 1,47;R$ 1,67;0,18%;0,18%;50
JOISSZ;JOI;SSZ;R$ 2,29;R$ 2,46;0,18%;0,18%;50
JOILDB;JOI;LDB;R$ 2,00;R$ 2,17;0,25%;0,25%;50
JOICPQ;JOI;CPQ;R$ 1,97;R$ 2,17;0,25%;0,25%;50
JOISJK;JOI;SJK;R$ 2,49;R$ 2,66;0,25%;0,25%;50
JOISOD;JOI;SOD;R$ 2,02;R$ 2,22;0,25%;0,25%;50
JOIPOA;JOI;POA;R$ 1,39;R$ 1,60;0,25%;0,25%;50
JOIMGF;JOI;MGF;R$ 1,97;R$ 2,17;0,25%;0,25%;50
JOICAC;JOI;CAC;R$ 2,23;R$ 2,41;0,25%;0,25%;50
JOIPSA;JOI;PSA;R$ 2,75;R$ 2,92;0,25%;0,25%;50
JOICXJ;JOI;CXJ;R$ 2,45;R$ 2,58;0,25%;0,25%;50
JOIRAO;JOI;RAO;R$ 1,71;R$ 1,92;0,25%;0,25%;50
JOIBAU;JOI;BAU;R$ 1,88;R$ 2,08;0,25%;0,25%;50
JOISJP;JOI;SJP;R$ 2,55;R$ 2,72;0,25%;0,25%;50
JOIPPB;JOI;PPB;R$ 2,74;R$ 2,91;0,27%;0,27%;50
JOICAW;JOI;CAW;R$ 2,22;R$ 2,40;0,25%;0,25%;50
JOIRIO;JOI;RIO;R$ 1,79;R$ 1,98;0,25%;0,25%;50
JOIJDF;JOI;JDF;R$ 2,37;R$ 2,55;0,25%;0,25%;50
JOIDIV;JOI;DIV;R$ 1,82;R$ 2,01;0,25%;0,25%;50
JOIBHZ;JOI;BHZ;R$ 1,68;R$ 1,88;0,27%;0,27%;50
JOIUDI;JOI;UDI;R$ 1,54;R$ 1,73;0,27%;0,27%;50
JOIVIX;JOI;VIX;R$ 1,80;R$ 2,00;0,27%;0,27%;50
JOIGYN;JOI;GYN;R$ 1,76;R$ 1,95;0,27%;0,27%;50
JOIBSB;JOI;BSB;R$ 2,02;R$ 2,21;0,37%;0,37%;50
JOIVDC;JOI;VDC;R$ 2,38;R$ 2,57;0,37%;0,37%;50
JOIITN;JOI;ITN;R$ 2,46;R$ 2,63;0,45%;0,45%;50
JOISSA;JOI;SSA;R$ 1,98;R$ 2,17;0,45%;0,45%;50
JOIFES;JOI;FES;R$ 1,98;R$ 2,14;0,45%;0,45%;50
JOICGR;JOI;CGR;R$ 3,01;R$ 3,16;0,45%;0,45%;50
JOIPMW;JOI;PMW;R$ 3,30;R$ 3,44;0,45%;0,45%;50
JOICGB;JOI;CGB;R$ 3,76;R$ 3,88;0,45%;0,45%;50
JOIPNZ;JOI;PNZ;R$ 2,73;R$ 2,90;0,66%;0,66%;50
JOIAJU;JOI;AJU;R$ 2,10;R$ 2,29;0,66%;0,66%;50
JOIMCZ;JOI;MCZ;R$ 2,05;R$ 2,23;0,66%;0,66%;50
JOIIMP;JOI;IMP;R$ 3,15;R$ 3,29;0,66%;0,66%;50
JOICAU;JOI;CAU;R$ 2,90;R$ 3,05;0,94%;0,94%;50
JOITHE;JOI;THE;R$ 2,82;R$ 2,98;0,94%;0,94%;50
JOIREC;JOI;REC;R$ 1,76;R$ 1,98;0,94%;0,94%;50
JOIJPA;JOI;JPA;R$ 2,01;R$ 2,19;0,94%;0,94%;50
JOINAT;JOI;NAT;R$ 2,19;R$ 2,37;0,94%;0,94%;50
JOISLZ;JOI;SLZ;R$ 3,07;R$ 3,22;0,94%;0,94%;50
JOIFOR;JOI;FOR;R$ 2,08;R$ 2,27;0,94%;0,94%;50
JOIBEL;JOI;BEL;R$ 2,75;R$ 2,85;0,94%;0,94%;50
JPAFES;JPA;FES;R$ 1,37;R$ 1,80;0,25%;0,25%;50
JPAITN;JPA;ITN;R$ 1,92;R$ 2,39;0,25%;0,25%;50
JPAVDC;JPA;VDC;R$ 2,14;R$ 2,60;0,25%;0,25%;50
JPASSA;JPA;SSA;R$ 1,99;R$ 2,45;0,27%;0,27%;50
JPAAJU;JPA;AJU;R$ 1,77;R$ 2,24;0,27%;0,27%;50
JPAPNZ;JPA;PNZ;R$ 3,36;R$ 3,73;0,27%;0,27%;50
JPAMCZ;JPA;MCZ;R$ 3,33;R$ 3,69;0,27%;0,27%;50
JPACAU;JPA;CAU;R$ 2,44;R$ 2,89;0,37%;0,37%;50
JPAREC;JPA;REC;R$ 2,31;R$ 2,74;0,37%;0,37%;50
JPAVIX;JPA;VIX;R$ 1,90;R$ 2,35;0,37%;0,37%;50
JPATHE;JPA;THE;R$ 3,48;R$ 3,85;0,45%;0,45%;50
JPABHZ;JPA;BHZ;R$ 2,18;R$ 2,63;0,45%;0,45%;50
JPABSB;JPA;BSB;R$ 2,42;R$ 2,85;0,45%;0,45%;50
JPAPMW;JPA;PMW;R$ 3,53;R$ 3,92;0,45%;0,45%;50
JPACAW;JPA;CAW;R$ 2,67;R$ 3,10;0,45%;0,45%;50
JPADIV;JPA;DIV;R$ 2,20;R$ 2,65;0,45%;0,45%;50
JPAJDF;JPA;JDF;R$ 2,49;R$ 2,95;0,45%;0,45%;50
JPAGYN;JPA;GYN;R$ 2,29;R$ 2,72;0,45%;0,45%;50
JPARIO;JPA;RIO;R$ 2,22;R$ 2,68;0,45%;0,45%;50
JPAPSA;JPA;PSA;R$ 2,58;R$ 3,04;0,66%;0,66%;50
JPASJK;JPA;SJK;R$ 2,85;R$ 3,29;0,66%;0,66%;50
JPACPQ;JPA;CPQ;R$ 2,72;R$ 3,15;0,66%;0,66%;50
JPASAO;JPA;SAO;R$ 2,41;R$ 2,86;0,66%;0,66%;50
JPASSZ;JPA;SSZ;R$ 3,25;R$ 3,67;0,66%;0,66%;50
JPASOD;JPA;SOD;R$ 2,84;R$ 3,27;0,66%;0,66%;50
JPABAU;JPA;BAU;R$ 3,01;R$ 3,45;0,66%;0,66%;50
JPARAO;JPA;RAO;R$ 3,05;R$ 3,47;0,66%;0,66%;50
JPACWB;JPA;CWB;R$ 3,15;R$ 3,57;0,94%;0,94%;50
JPAJOI;JPA;JOI;R$ 2,91;R$ 3,34;0,94%;0,94%;50
JPACGB;JPA;CGB;R$ 5,58;R$ 5,89;0,94%;0,94%;50
JPACGR;JPA;CGR;R$ 5,00;R$ 5,33;0,94%;0,94%;50
JPASJP;JPA;SJP;R$ 3,32;R$ 3,75;0,94%;0,94%;50
JPAITJ;JPA;ITJ;R$ 2,80;R$ 3,23;0,94%;0,94%;50
JPABNU;JPA;BNU;R$ 2,78;R$ 3,21;0,94%;0,94%;50
JPALDB;JPA;LDB;R$ 3,01;R$ 3,44;0,94%;0,94%;50
JPAFLN;JPA;FLN;R$ 3,12;R$ 3,54;0,94%;0,94%;50
JPAPPB;JPA;PPB;R$ 3,77;R$ 4,18;0,94%;0,94%;50
JPAUDI;JPA;UDI;R$ 2,86;R$ 3,29;0,66%;0,66%;50
JPAMGF;JPA;MGF;R$ 3,03;R$ 3,46;0,94%;0,94%;50
JPABEL;JPA;BEL;R$ 2,91;R$ 3,34;0,94%;0,94%;50
JPALAJ;JPA;LAJ;R$ 3,68;R$ 4,07;0,94%;0,94%;50
JPACCM;JPA;CCM;R$ 3,95;R$ 4,34;0,94%;0,94%;50
JPACAC;JPA;CAC;R$ 3,55;R$ 3,95;0,94%;0,94%;50
JPAXAP;JPA;XAP;R$ 3,63;R$ 4,03;0,94%;0,94%;50
JPACXJ;JPA;CXJ;R$ 2,93;R$ 3,36;0,94%;0,94%;50
JPAPOA;JPA;POA;R$ 3,23;R$ 3,65;0,94%;0,94%;50
JPAJPA;JPA;JPA;R$ 0,65;R$ 1,29;0,14%;0,14%;50
JPANAT;JPA;NAT;R$ 1,30;R$ 1,79;0,37%;0,37%;50
JPAFOR;JPA;FOR;R$ 1,76;R$ 2,19;0,45%;0,45%;50
JPAIMP;JPA;IMP;R$ 2,42;R$ 2,87;0,45%;0,45%;50
JPASLZ;JPA;SLZ;R$ 2,34;R$ 2,79;0,45%;0,45%;50
LAJLAJ;LAJ;LAJ;R$ 1,19;R$ 1,53;0,14%;0,14%;50
LAJITJ;LAJ;ITJ;R$ 0,69;R$ 1,05;0,18%;0,18%;50
LAJJOI;LAJ;JOI;R$ 0,83;R$ 1,18;0,18%;0,18%;50
LAJBNU;LAJ;BNU;R$ 0,74;R$ 1,10;0,18%;0,18%;50
LAJCWB;LAJ;CWB;R$ 1,06;R$ 1,40;0,18%;0,18%;50
LAJCCM;LAJ;CCM;R$ 1,54;R$ 1,87;0,18%;0,18%;50
LAJFLN;LAJ;FLN;R$ 0,87;R$ 1,22;0,18%;0,18%;50
LAJXAP;LAJ;XAP;R$ 1,39;R$ 1,73;0,18%;0,18%;50
LAJSOD;LAJ;SOD;R$ 1,70;R$ 2,02;0,25%;0,25%;50
LAJSSZ;LAJ;SSZ;R$ 1,91;R$ 2,22;0,25%;0,25%;50
LAJSAO;LAJ;SAO;R$ 0,98;R$ 1,33;0,25%;0,25%;50
LAJLDB;LAJ;LDB;R$ 1,73;R$ 2,05;0,25%;0,25%;50
LAJCPQ;LAJ;CPQ;R$ 1,64;R$ 1,97;0,25%;0,25%;50
LAJSJK;LAJ;SJK;R$ 2,13;R$ 2,44;0,25%;0,25%;50
LAJPOA;LAJ;POA;R$ 1,61;R$ 1,93;0,25%;0,25%;50
LAJMGF;LAJ;MGF;R$ 1,95;R$ 2,27;0,25%;0,25%;50
LAJCAC;LAJ;CAC;R$ 1,80;R$ 2,12;0,25%;0,25%;50
LAJPSA;LAJ;PSA;R$ 2,43;R$ 2,72;0,25%;0,25%;50
LAJCXJ;LAJ;CXJ;R$ 1,97;R$ 2,29;0,25%;0,25%;50
LAJRAO;LAJ;RAO;R$ 1,39;R$ 1,72;0,25%;0,25%;50
LAJBAU;LAJ;BAU;R$ 1,57;R$ 1,90;0,25%;0,25%;50
LAJSJP;LAJ;SJP;R$ 2,19;R$ 2,49;0,27%;0,27%;50
LAJPPB;LAJ;PPB;R$ 2,42;R$ 2,71;0,27%;0,27%;50
LAJRIO;LAJ;RIO;R$ 1,47;R$ 1,80;0,27%;0,27%;50
LAJJDF;LAJ;JDF;R$ 2,13;R$ 2,44;0,27%;0,27%;50
LAJDIV;LAJ;DIV;R$ 1,58;R$ 1,91;0,27%;0,27%;50
LAJBHZ;LAJ;BHZ;R$ 1,44;R$ 1,77;0,27%;0,27%;50
LAJUDI;LAJ;UDI;R$ 1,16;R$ 1,50;0,27%;0,27%;50
LAJCAW;LAJ;CAW;R$ 1,98;R$ 2,29;0,27%;0,27%;50
LAJVIX;LAJ;VIX;R$ 1,44;R$ 1,77;0,37%;0,37%;50
LAJGYN;LAJ;GYN;R$ 1,44;R$ 1,77;0,37%;0,37%;50
LAJBSB;LAJ;BSB;R$ 1,78;R$ 2,10;0,37%;0,37%;50
LAJVDC;LAJ;VDC;R$ 2,17;R$ 2,47;0,45%;0,45%;50
LAJITN;LAJ;ITN;R$ 2,22;R$ 2,52;0,45%;0,45%;50
LAJSSA;LAJ;SSA;R$ 1,74;R$ 2,06;0,66%;0,66%;50
LAJFES;LAJ;FES;R$ 1,81;R$ 2,13;0,66%;0,66%;50
LAJCGR;LAJ;CGR;R$ 2,77;R$ 3,05;0,66%;0,66%;50
LAJPMW;LAJ;PMW;R$ 3,07;R$ 3,34;0,66%;0,66%;50
LAJCGB;LAJ;CGB;R$ 3,52;R$ 3,77;0,66%;0,66%;50
LAJPNZ;LAJ;PNZ;R$ 2,80;R$ 3,08;0,66%;0,66%;50
LAJAJU;LAJ;AJU;R$ 1,87;R$ 2,18;0,66%;0,66%;50
LAJMCZ;LAJ;MCZ;R$ 1,81;R$ 2,13;0,94%;0,94%;50
LAJIMP;LAJ;IMP;R$ 2,91;R$ 3,19;0,94%;0,94%;50
LAJCAU;LAJ;CAU;R$ 2,66;R$ 2,94;0,94%;0,94%;50
LAJTHE;LAJ;THE;R$ 2,60;R$ 2,89;0,94%;0,94%;50
LAJREC;LAJ;REC;R$ 1,65;R$ 1,98;0,94%;0,94%;50
LAJJPA;LAJ;JPA;R$ 1,77;R$ 2,09;0,94%;0,94%;50
LAJNAT;LAJ;NAT;R$ 1,95;R$ 2,27;0,94%;0,94%;50
LAJSLZ;LAJ;SLZ;R$ 2,83;R$ 3,11;0,94%;0,94%;50
LAJFOR;LAJ;FOR;R$ 1,85;R$ 2,16;0,94%;0,94%;50
LAJBEL;LAJ;BEL;R$ 1,91;R$ 2,23;0,94%;0,94%;50
LDBLDB;LDB;LDB;R$ 0,65;R$ 1,07;0,14%;0,14%;50
LDBMGF;LDB;MGF;R$ 1,08;R$ 1,34;0,18%;0,18%;50
LDBCWB;LDB;CWB;R$ 1,90;R$ 2,08;0,18%;0,18%;50
LDBJOI;LDB;JOI;R$ 2,30;R$ 2,47;0,25%;0,25%;50
LDBSAO;LDB;SAO;R$ 1,58;R$ 1,80;0,25%;0,25%;50
LDBSSZ;LDB;SSZ;R$ 2,32;R$ 2,54;0,25%;0,25%;50
LDBBNU;LDB;BNU;R$ 2,14;R$ 2,36;0,25%;0,25%;50
LDBITJ;LDB;ITJ;R$ 1,60;R$ 1,85;0,25%;0,25%;50
LDBSJK;LDB;SJK;R$ 2,52;R$ 2,73;0,25%;0,25%;50
LDBSOD;LDB;SOD;R$ 2,05;R$ 2,29;0,25%;0,25%;50
LDBCPQ;LDB;CPQ;R$ 2,00;R$ 2,24;0,25%;0,25%;50
LDBFLN;LDB;FLN;R$ 2,37;R$ 2,59;0,25%;0,25%;50
LDBCAC;LDB;CAC;R$ 1,18;R$ 1,44;0,18%;0,18%;50
LDBLAJ;LDB;LAJ;R$ 2,96;R$ 3,15;0,25%;0,25%;50
LDBPSA;LDB;PSA;R$ 2,78;R$ 2,99;0,25%;0,25%;50
LDBCCM;LDB;CCM;R$ 3,25;R$ 3,43;0,25%;0,25%;50
LDBRAO;LDB;RAO;R$ 1,74;R$ 1,99;0,25%;0,25%;50
LDBBAU;LDB;BAU;R$ 1,90;R$ 2,15;0,25%;0,25%;50
LDBXAP;LDB;XAP;R$ 2,96;R$ 3,15;0,25%;0,25%;50
LDBPOA;LDB;POA;R$ 2,55;R$ 2,76;0,27%;0,27%;50
LDBSJP;LDB;SJP;R$ 2,58;R$ 2,79;0,27%;0,27%;50
LDBCXJ;LDB;CXJ;R$ 2,91;R$ 3,11;0,27%;0,27%;50
LDBPPB;LDB;PPB;R$ 2,77;R$ 2,98;0,27%;0,27%;50
LDBRIO;LDB;RIO;R$ 1,95;R$ 2,16;0,27%;0,27%;50
LDBJDF;LDB;JDF;R$ 2,43;R$ 2,64;0,27%;0,27%;50
LDBDIV;LDB;DIV;R$ 1,88;R$ 2,11;0,27%;0,27%;50
LDBBHZ;LDB;BHZ;R$ 2,00;R$ 2,20;0,27%;0,27%;50
LDBUDI;LDB;UDI;R$ 1,46;R$ 1,71;0,27%;0,27%;50
LDBCAW;LDB;CAW;R$ 2,28;R$ 2,49;0,27%;0,27%;50
LDBVIX;LDB;VIX;R$ 1,83;R$ 2,07;0,37%;0,37%;50
LDBGYN;LDB;GYN;R$ 2,44;R$ 2,59;0,37%;0,37%;50
LDBBSB;LDB;BSB;R$ 2,08;R$ 2,31;0,37%;0,37%;50
LDBVDC;LDB;VDC;R$ 2,44;R$ 2,66;0,37%;0,37%;50
LDBITN;LDB;ITN;R$ 2,52;R$ 2,73;0,45%;0,45%;50
LDBSSA;LDB;SSA;R$ 2,04;R$ 2,27;0,45%;0,45%;50
LDBFES;LDB;FES;R$ 2,05;R$ 2,25;0,45%;0,45%;50
LDBCGR;LDB;CGR;R$ 3,07;R$ 3,26;0,66%;0,66%;50
LDBPMW;LDB;PMW;R$ 3,36;R$ 3,54;0,66%;0,66%;50
LDBCGB;LDB;CGB;R$ 3,82;R$ 3,98;0,66%;0,66%;50
LDBPNZ;LDB;PNZ;R$ 3,10;R$ 3,28;0,66%;0,66%;50
LDBAJU;LDB;AJU;R$ 2,16;R$ 2,39;0,66%;0,66%;50
LDBMCZ;LDB;MCZ;R$ 2,11;R$ 2,33;0,94%;0,94%;50
LDBIMP;LDB;IMP;R$ 3,21;R$ 3,39;0,94%;0,94%;50
LDBCAU;LDB;CAU;R$ 2,96;R$ 3,15;0,94%;0,94%;50
LDBTHE;LDB;THE;R$ 2,87;R$ 3,08;0,94%;0,94%;50
LDBREC;LDB;REC;R$ 2,13;R$ 2,36;0,94%;0,94%;50
LDBJPA;LDB;JPA;R$ 2,07;R$ 2,29;0,94%;0,94%;50
LDBNAT;LDB;NAT;R$ 2,25;R$ 2,47;0,94%;0,94%;50
LDBSLZ;LDB;SLZ;R$ 3,13;R$ 3,32;0,94%;0,94%;50
LDBFOR;LDB;FOR;R$ 2,14;R$ 2,37;0,94%;0,94%;50
LDBBEL;LDB;BEL;R$ 2,27;R$ 2,46;0,94%;0,94%;50
MCZMCZ;MCZ;MCZ;R$ 1,10;R$ 1,90;0,14%;0,14%;50
MCZAJU;MCZ;AJU;R$ 1,62;R$ 2,24;0,18%;0,18%;50
MCZFES;MCZ;FES;R$ 1,69;R$ 2,31;0,25%;0,25%;50
MCZITN;MCZ;ITN;R$ 2,10;R$ 2,71;0,25%;0,25%;50
MCZVDC;MCZ;VDC;R$ 2,30;R$ 2,90;0,27%;0,27%;50
MCZCAU;MCZ;CAU;R$ 2,85;R$ 3,43;0,25%;0,25%;50
MCZSSA;MCZ;SSA;R$ 2,27;R$ 2,87;0,25%;0,25%;50
MCZVIX;MCZ;VIX;R$ 1,80;R$ 2,43;0,37%;0,37%;50
MCZBHZ;MCZ;BHZ;R$ 2,37;R$ 2,97;0,37%;0,37%;50
MCZBSB;MCZ;BSB;R$ 2,72;R$ 3,30;0,37%;0,37%;50
MCZPMW;MCZ;PMW;R$ 3,83;R$ 4,36;0,37%;0,37%;50
MCZCAW;MCZ;CAW;R$ 2,94;R$ 3,51;0,37%;0,37%;50
MCZDIV;MCZ;DIV;R$ 2,40;R$ 3,00;0,37%;0,37%;50
MCZJDF;MCZ;JDF;R$ 2,89;R$ 3,47;0,45%;0,45%;50
MCZGYN;MCZ;GYN;R$ 2,59;R$ 3,17;0,45%;0,45%;50
MCZRIO;MCZ;RIO;R$ 2,50;R$ 3,09;0,45%;0,45%;50
MCZPSA;MCZ;PSA;R$ 2,83;R$ 3,42;0,45%;0,45%;50
MCZSJK;MCZ;SJK;R$ 2,95;R$ 3,54;0,66%;0,66%;50
MCZCPQ;MCZ;CPQ;R$ 2,85;R$ 3,43;0,66%;0,66%;50
MCZSAO;MCZ;SAO;R$ 2,48;R$ 3,09;0,45%;0,45%;50
MCZSSZ;MCZ;SSZ;R$ 3,33;R$ 3,90;0,45%;0,45%;50
MCZSOD;MCZ;SOD;R$ 3,11;R$ 3,68;0,66%;0,66%;50
MCZBAU;MCZ;BAU;R$ 3,26;R$ 3,84;0,66%;0,66%;50
MCZRAO;MCZ;RAO;R$ 3,32;R$ 3,88;0,66%;0,66%;50
MCZCWB;MCZ;CWB;R$ 3,42;R$ 3,98;0,66%;0,66%;50
MCZJOI;MCZ;JOI;R$ 3,19;R$ 3,75;0,66%;0,66%;50
MCZCGB;MCZ;CGB;R$ 5,87;R$ 6,33;0,66%;0,66%;50
MCZCGR;MCZ;CGR;R$ 5,30;R$ 5,78;0,66%;0,66%;50
MCZSJP;MCZ;SJP;R$ 3,57;R$ 4,14;0,66%;0,66%;50
MCZITJ;MCZ;ITJ;R$ 3,07;R$ 3,64;0,66%;0,66%;50
MCZBNU;MCZ;BNU;R$ 3,05;R$ 3,62;0,66%;0,66%;50
MCZLDB;MCZ;LDB;R$ 3,29;R$ 3,85;0,94%;0,94%;50
MCZFLN;MCZ;FLN;R$ 3,40;R$ 3,95;0,94%;0,94%;50
MCZPPB;MCZ;PPB;R$ 4,02;R$ 4,57;0,94%;0,94%;50
MCZUDI;MCZ;UDI;R$ 3,13;R$ 3,70;0,45%;0,45%;50
MCZMGF;MCZ;MGF;R$ 3,31;R$ 3,87;0,94%;0,94%;50
MCZBEL;MCZ;BEL;R$ 3,18;R$ 3,75;0,94%;0,94%;50
MCZLAJ;MCZ;LAJ;R$ 3,95;R$ 4,49;0,94%;0,94%;50
MCZCCM;MCZ;CCM;R$ 4,23;R$ 4,75;0,94%;0,94%;50
MCZCAC;MCZ;CAC;R$ 3,83;R$ 4,36;0,94%;0,94%;50
MCZXAP;MCZ;XAP;R$ 3,91;R$ 4,44;0,94%;0,94%;50
MCZCXJ;MCZ;CXJ;R$ 3,21;R$ 3,77;0,94%;0,94%;50
MCZPOA;MCZ;POA;R$ 3,51;R$ 4,06;0,94%;0,94%;50
MCZREC;MCZ;REC;R$ 1,38;R$ 2,02;0,25%;0,25%;50
MCZPNZ;MCZ;PNZ;R$ 2,35;R$ 2,94;0,25%;0,25%;50
MCZJPA;MCZ;JPA;R$ 1,32;R$ 1,96;0,27%;0,27%;50
MCZNAT;MCZ;NAT;R$ 1,51;R$ 2,13;0,37%;0,37%;50
MCZTHE;MCZ;THE;R$ 2,60;R$ 3,19;0,37%;0,37%;50
MCZFOR;MCZ;FOR;R$ 1,56;R$ 2,18;0,37%;0,37%;50
MCZIMP;MCZ;IMP;R$ 2,62;R$ 3,21;0,45%;0,45%;50
MCZSLZ;MCZ;SLZ;R$ 2,54;R$ 3,13;0,45%;0,45%;50
MGFMGF;MGF;MGF;R$ 0,54;R$ 0,86;0,14%;0,14%;50
MGFCAC;MGF;CAC;R$ 1,60;R$ 1,78;0,18%;0,18%;50
MGFLDB;MGF;LDB;R$ 1,25;R$ 1,43;0,18%;0,18%;50
MGFCWB;MGF;CWB;R$ 2,18;R$ 2,32;0,25%;0,25%;50
MGFJOI;MGF;JOI;R$ 2,23;R$ 2,39;0,25%;0,25%;50
MGFSAO;MGF;SAO;R$ 1,68;R$ 1,87;0,25%;0,25%;50
MGFBNU;MGF;BNU;R$ 2,33;R$ 2,50;0,25%;0,25%;50
MGFITJ;MGF;ITJ;R$ 2,12;R$ 2,28;0,25%;0,25%;50
MGFSSZ;MGF;SSZ;R$ 2,78;R$ 2,92;0,25%;0,25%;50
MGFSJK;MGF;SJK;R$ 2,98;R$ 3,11;0,25%;0,25%;50
MGFSOD;MGF;SOD;R$ 2,46;R$ 2,62;0,25%;0,25%;50
MGFCPQ;MGF;CPQ;R$ 2,41;R$ 2,57;0,25%;0,25%;50
MGFFLN;MGF;FLN;R$ 2,83;R$ 2,97;0,25%;0,25%;50
MGFLAJ;MGF;LAJ;R$ 3,42;R$ 3,53;0,25%;0,25%;50
MGFPSA;MGF;PSA;R$ 3,19;R$ 3,32;0,25%;0,25%;50
MGFCCM;MGF;CCM;R$ 2,96;R$ 3,11;0,25%;0,25%;50
MGFRAO;MGF;RAO;R$ 2,15;R$ 2,32;0,27%;0,27%;50
MGFBAU;MGF;BAU;R$ 2,29;R$ 2,46;0,27%;0,27%;50
MGFXAP;MGF;XAP;R$ 3,42;R$ 3,53;0,27%;0,27%;50
MGFPOA;MGF;POA;R$ 3,01;R$ 3,14;0,27%;0,27%;50
MGFSJP;MGF;SJP;R$ 3,04;R$ 3,17;0,27%;0,27%;50
MGFCXJ;MGF;CXJ;R$ 3,37;R$ 3,49;0,27%;0,27%;50
MGFPPB;MGF;PPB;R$ 3,18;R$ 3,32;0,27%;0,27%;50
MGFRIO;MGF;RIO;R$ 2,03;R$ 2,20;0,27%;0,27%;50
MGFJDF;MGF;JDF;R$ 2,70;R$ 2,84;0,27%;0,27%;50
MGFDIV;MGF;DIV;R$ 2,14;R$ 2,31;0,27%;0,27%;50
MGFBHZ;MGF;BHZ;R$ 2,20;R$ 2,35;0,27%;0,27%;50
MGFUDI;MGF;UDI;R$ 1,72;R$ 1,90;0,27%;0,27%;50
MGFCAW;MGF;CAW;R$ 2,54;R$ 2,69;0,27%;0,27%;50
MGFVIX;MGF;VIX;R$ 2,29;R$ 2,45;0,37%;0,37%;50
MGFGYN;MGF;GYN;R$ 2,20;R$ 2,36;0,37%;0,37%;50
MGFBSB;MGF;BSB;R$ 2,58;R$ 2,72;0,37%;0,37%;50
MGFVDC;MGF;VDC;R$ 2,68;R$ 2,83;0,45%;0,45%;50
MGFITN;MGF;ITN;R$ 2,78;R$ 2,92;0,45%;0,45%;50
MGFSSA;MGF;SSA;R$ 2,30;R$ 2,46;0,66%;0,66%;50
MGFFES;MGF;FES;R$ 2,38;R$ 2,51;0,66%;0,66%;50
MGFCGR;MGF;CGR;R$ 3,33;R$ 3,45;0,66%;0,66%;50
MGFPMW;MGF;PMW;R$ 3,63;R$ 3,73;0,66%;0,66%;50
MGFCGB;MGF;CGB;R$ 4,08;R$ 4,17;0,66%;0,66%;50
MGFPNZ;MGF;PNZ;R$ 3,36;R$ 3,48;0,66%;0,66%;50
MGFAJU;MGF;AJU;R$ 2,43;R$ 2,58;0,66%;0,66%;50
MGFMCZ;MGF;MCZ;R$ 2,37;R$ 2,52;0,94%;0,94%;50
MGFIMP;MGF;IMP;R$ 3,47;R$ 3,59;0,94%;0,94%;50
MGFCAU;MGF;CAU;R$ 3,22;R$ 3,34;0,94%;0,94%;50
MGFTHE;MGF;THE;R$ 3,11;R$ 3,24;0,94%;0,94%;50
MGFREC;MGF;REC;R$ 2,40;R$ 2,55;0,94%;0,94%;50
MGFJPA;MGF;JPA;R$ 2,33;R$ 2,49;0,94%;0,94%;50
MGFNAT;MGF;NAT;R$ 2,51;R$ 2,66;0,94%;0,94%;50
MGFSLZ;MGF;SLZ;R$ 3,39;R$ 3,51;0,94%;0,94%;50
MGFFOR;MGF;FOR;R$ 2,41;R$ 2,56;0,94%;0,94%;50
MGFBEL;MGF;BEL;R$ 2,15;R$ 2,32;0,94%;0,94%;50
